bit_size,hamming_weight,algorithm,k,sample,multiplications,squarings,total_ops
1024,512,sliding,6,9,174,1019,1193
1024,512,binary_lr,,10,512,1024,1536
1024,512,binary_rl,,10,512,1023,1535
1024,512,kary,4,10,269,1020,1289
1024,512,sliding,4,10,219,1021,1240
1024,512,kary,6,10,232,1020,1252
1024,512,sliding,6,10,177,1019,1196
1024,512,binary_lr,,11,512,1024,1536
1024,512,binary_rl,,11,512,1023,1535
1024,512,kary,4,11,269,1020,1289
1024,512,sliding,4,11,212,1022,1234
1024,512,kary,6,11,232,1020,1252
1024,512,sliding,6,11,178,1020,1198
1024,512,binary_lr,,12,512,1024,1536
1024,512,binary_rl,,12,512,1023,1535
1024,512,kary,4,12,269,1020,1289
1024,512,sliding,4,12,214,1021,1235
1024,512,kary,6,12,232,1020,1252
1024,512,sliding,6,12,176,1019,1195
1024,512,binary_lr,,13,512,1024,1536
1024,512,binary_rl,,13,512,1023,1535
1024,512,kary,4,13,269,1020,1289
1024,512,sliding,4,13,212,1023,1235
1024,512,kary,6,13,232,1020,1252
1024,512,sliding,6,13,175,1020,1195
1024,512,binary_lr,,14,512,1024,1536
1024,512,binary_rl,,14,512,1023,1535
1024,512,kary,4,14,269,1020,1289
1024,512,sliding,4,14,214,1022,1236
1024,512,kary,6,14,232,1020,1252
1024,512,sliding,6,14,176,1019,1195
1024,512,binary_lr,,15,512,1024,1536
1024,512,binary_rl,,15,512,1023,1535
1024,512,kary,4,15,269,1020,1289
1024,512,sliding,4,15,218,1021,1239
1024,512,kary,6,15,232,1020,1252
1024,512,sliding,6,15,173,1019,1192
1024,512,binary_lr,,16,512,1024,1536
1024,512,binary_rl,,16,512,1023,1535
1024,512,kary,4,16,269,1020,1289
1024,512,sliding,4,16,216,1023,1239
1024,512,kary,6,16,232,1020,1252
1024,512,sliding,6,16,178,1023,1201
1024,512,binary_lr,,17,512,1024,1536
1024,512,binary_rl,,17,512,1023,1535
1024,512,kary,4,17,269,1020,1289
1024,512,sliding,4,17,209,1022,1231
1024,512,kary,6,17,232,1020,1252
1024,512,sliding,6,17,177,1019,1196
1024,512,binary_lr,,18,512,1024,1536
1024,512,binary_rl,,18,512,1023,1535
1024,512,kary,4,18,269,1020,1289
1024,512,sliding,4,18,215,1021,1236
1024,512,kary,6,18,232,1020,1252
1024,512,sliding,6,18,174,1019,1193
1024,512,binary_lr,,19,512,1024,1536
1024,512,binary_rl,,19,512,1023,1535
1024,512,kary,4,19,269,1020,1289
1024,512,sliding,4,19,218,1024,1242
1024,512,kary,6,19,232,1020,1252
1024,512,sliding,6,19,174,1019,1193
1024,700,binary_lr,,0,700,1024,1724
1024,700,binary_rl,,0,700,1023,1723
1024,700,kary,4,0,269,1020,1289
1024,700,sliding,4,0,236,1022,1258
1024,700,kary,6,0,232,1020,1252
1024,700,sliding,6,0,192,1019,1211
1024,700,binary_lr,,1,700,1024,1724
1024,700,binary_rl,,1,700,1023,1723
1024,700,kary,4,1,269,1020,1289
1024,700,sliding,4,1,235,1024,1259
1024,700,kary,6,1,232,1020,1252
1024,700,sliding,6,1,190,1020,1210
1024,700,binary_lr,,2,700,1024,1724
1024,700,binary_rl,,2,700,1023,1723
1024,700,kary,4,2,269,1020,1289
1024,700,sliding,4,2,235,1021,1256
1024,700,kary,6,2,232,1020,1252
1024,700,sliding,6,2,188,1019,1207
1024,700,binary_lr,,3,700,1024,1724
1024,700,binary_rl,,3,700,1023,1723
1024,700,kary,4,3,269,1020,1289
1024,700,sliding,4,3,232,1021,1253
1024,700,kary,6,3,232,1020,1252
1024,700,sliding,6,3,190,1019,1209
1024,700,binary_lr,,4,700,1024,1724
1024,700,binary_rl,,4,700,1023,1723
1024,700,kary,4,4,269,1020,1289
1024,700,sliding,4,4,233,1021,1254
1024,700,kary,6,4,232,1020,1252
1024,700,sliding,6,4,189,1019,1208
1024,700,binary_lr,,5,700,1024,1724
1024,700,binary_rl,,5,700,1023,1723
1024,700,kary,4,5,269,1020,1289
1024,700,sliding,4,5,233,1022,1255
1024,700,kary,6,5,232,1020,1252
1024,700,sliding,6,5,188,1019,1207
1024,700,binary_lr,,6,700,1024,1724
1024,700,binary_rl,,6,700,1023,1723
1024,700,kary,4,6,269,1020,1289
1024,700,sliding,4,6,234,1021,1255
1024,700,kary,6,6,232,1020,1252
1024,700,sliding,6,6,189,1019,1208
1024,700,binary_lr,,7,700,1024,1724
1024,700,binary_rl,,7,700,1023,1723
1024,700,kary,4,7,269,1020,1289
1024,700,sliding,4,7,236,1021,1257
1024,700,kary,6,7,232,1020,1252
1024,700,sliding,6,7,187,1020,1207
1024,700,binary_lr,,8,700,1024,1724
1024,700,binary_rl,,8,700,1023,1723
1024,700,kary,4,8,269,1020,1289
1024,700,sliding,4,8,233,1022,1255
1024,700,kary,6,8,232,1020,1252
1024,700,sliding,6,8,191,1022,1213
1024,700,binary_lr,,9,700,1024,1724
1024,700,binary_rl,,9,700,1023,1723
1024,700,kary,4,9,269,1020,1289
1024,700,sliding,4,9,234,1023,1257
1024,700,kary,6,9,232,1020,1252
1024,700,sliding,6,9,190,1019,1209
1024,700,binary_lr,,10,700,1024,1724
1024,700,binary_rl,,10,700,1023,1723
1024,700,kary,4,10,269,1020,1289
1024,700,sliding,4,10,237,1021,1258
1024,700,kary,6,10,232,1020,1252
1024,700,sliding,6,10,189,1019,1208
1024,700,binary_lr,,11,700,1024,1724
1024,700,binary_rl,,11,700,1023,1723
1024,700,kary,4,11,269,1020,1289
1024,700,sliding,4,11,237,1022,1259
1024,700,kary,6,11,232,1020,1252
1024,700,sliding,6,11,188,1019,1207
1024,700,binary_lr,,12,700,1024,1724
1024,700,binary_rl,,12,700,1023,1723
1024,700,kary,4,12,269,1020,1289
1024,700,sliding,4,12,239,1021,1260
1024,700,kary,6,12,232,1020,1252
1024,700,sliding,6,12,189,1019,1208
1024,700,binary_lr,,13,700,1024,1724
1024,700,binary_rl,,13,700,1023,1723
1024,700,kary,4,13,269,1020,1289
1024,700,sliding,4,13,239,1021,1260
1024,700,kary,6,13,232,1020,1252
1024,700,sliding,6,13,189,1019,1208
1024,700,binary_lr,,14,700,1024,1724
1024,700,binary_rl,,14,700,1023,1723
1024,700,kary,4,14,269,1020,1289
1024,700,sliding,4,14,239,1021,1260
1024,700,kary,6,14,232,1020,1252
1024,700,sliding,6,14,187,1019,1206
1024,700,binary_lr,,15,700,1024,1724
1024,700,binary_rl,,15,700,1023,1723
1024,700,kary,4,15,269,1020,1289
1024,700,sliding,4,15,236,1021,1257
1024,700,kary,6,15,232,1020,1252
1024,700,sliding,6,15,190,1019,1209
1024,700,binary_lr,,16,700,1024,1724
1024,700,binary_rl,,16,700,1023,1723
1024,700,kary,4,16,269,1020,1289
1024,700,sliding,4,16,235,1021,1256
1024,700,kary,6,16,232,1020,1252
1024,700,sliding,6,16,190,1021,1211
1024,700,binary_lr,,17,700,1024,1724
1024,700,binary_rl,,17,700,1023,1723
1024,700,kary,4,17,269,1020,1289
1024,700,sliding,4,17,239,1021,1260
1024,700,kary,6,17,232,1020,1252
1024,700,sliding,6,17,189,1019,1208
1024,700,binary_lr,,18,700,1024,1724
1024,700,binary_rl,,18,700,1023,1723
1024,700,kary,4,18,269,1020,1289
1024,700,sliding,4,18,237,1021,1258
1024,700,kary,6,18,232,1020,1252
1024,700,sliding,6,18,188,1019,1207
1024,700,binary_lr,,19,700,1024,1724
1024,700,binary_rl,,19,700,1023,1723
1024,700,kary,4,19,269,1020,1289
1024,700,sliding,4,19,237,1021,1258
1024,700,kary,6,19,232,1020,1252
1024,700,sliding,6,19,188,1019,1207
1024,900,binary_lr,,0,900,1024,1924
1024,900,binary_rl,,0,900,1023,1923
1024,900,kary,4,0,269,1020,1289
1024,900,sliding,4,0,255,1021,1276
1024,900,kary,6,0,232,1020,1252
1024,900,sliding,6,0,196,1020,1216
1024,900,binary_lr,,1,900,1024,1924
1024,900,binary_rl,,1,900,1023,1923
1024,900,kary,4,1,269,1020,1289
1024,900,sliding,4,1,255,1021,1276
1024,900,kary,6,1,232,1020,1252
1024,900,sliding,6,1,198,1019,1217
1024,900,binary_lr,,2,900,1024,1924
1024,900,binary_rl,,2,900,1023,1923
1024,900,kary,4,2,269,1020,1289
1024,900,sliding,4,2,253,1022,1275
1024,900,kary,6,2,232,1020,1252
1024,900,sliding,6,2,197,1019,1216
1024,900,binary_lr,,3,900,1024,1924
1024,900,binary_rl,,3,900,1023,1923
1024,900,kary,4,3,269,1020,1289
1024,900,sliding,4,3,254,1021,1275
1024,900,kary,6,3,232,1020,1252
1024,900,sliding,6,3,197,1019,1216
1024,900,binary_lr,,4,900,1024,1924
1024,900,binary_rl,,4,900,1023,1923
1024,900,kary,4,4,269,1020,1289
1024,900,sliding,4,4,253,1022,1275
1024,900,kary,6,4,232,1020,1252
1024,900,sliding,6,4,197,1019,1216
1024,900,binary_lr,,5,900,1024,1924
1024,900,binary_rl,,5,900,1023,1923
1024,900,kary,4,5,269,1020,1289
1024,900,sliding,4,5,257,1021,1278
1024,900,kary,6,5,232,1020,1252
1024,900,sliding,6,5,197,1019,1216
1024,900,binary_lr,,6,900,1024,1924
1024,900,binary_rl,,6,900,1023,1923
1024,900,kary,4,6,269,1020,1289
1024,900,sliding,4,6,254,1021,1275
1024,900,kary,6,6,232,1020,1252
1024,900,sliding,6,6,198,1019,1217
1024,900,binary_lr,,7,900,1024,1924
1024,900,binary_rl,,7,900,1023,1923
1024,900,kary,4,7,269,1020,1289
1024,900,sliding,4,7,254,1022,1276
1024,900,kary,6,7,232,1020,1252
1024,900,sliding,6,7,198,1019,1217
1024,900,binary_lr,,8,900,1024,1924
1024,900,binary_rl,,8,900,1023,1923
1024,900,kary,4,8,269,1020,1289
1024,900,sliding,4,8,254,1021,1275
1024,900,kary,6,8,232,1020,1252
1024,900,sliding,6,8,197,1019,1216
1024,900,binary_lr,,9,900,1024,1924
1024,900,binary_rl,,9,900,1023,1923
1024,900,kary,4,9,269,1020,1289
1024,900,sliding,4,9,257,1021,1278
1024,900,kary,6,9,232,1020,1252
1024,900,sliding,6,9,198,1019,1217
1024,900,binary_lr,,10,900,1024,1924
1024,900,binary_rl,,10,900,1023,1923
1024,900,kary,4,10,269,1020,1289
1024,900,sliding,4,10,254,1022,1276
1024,900,kary,6,10,232,1020,1252
1024,900,sliding,6,10,197,1019,1216
1024,900,binary_lr,,11,900,1024,1924
1024,900,binary_rl,,11,900,1023,1923
1024,900,kary,4,11,269,1020,1289
1024,900,sliding,4,11,253,1021,1274
1024,900,kary,6,11,232,1020,1252
1024,900,sliding,6,11,198,1020,1218
1024,900,binary_lr,,12,900,1024,1924
1024,900,binary_rl,,12,900,1023,1923
1024,900,kary,4,12,269,1020,1289
1024,900,sliding,4,12,253,1021,1274
1024,900,kary,6,12,232,1020,1252
1024,900,sliding,6,12,196,1019,1215
1024,900,binary_lr,,13,900,1024,1924
1024,900,binary_rl,,13,900,1023,1923
1024,900,kary,4,13,269,1020,1289
1024,900,sliding,4,13,252,1021,1273
1024,900,kary,6,13,232,1020,1252
1024,900,sliding,6,13,198,1021,1219
1024,900,binary_lr,,14,900,1024,1924
1024,900,binary_rl,,14,900,1023,1923
1024,900,kary,4,14,269,1020,1289
1024,900,sliding,4,14,252,1021,1273
1024,900,kary,6,14,232,1020,1252
1024,900,sliding,6,14,198,1019,1217
1024,900,binary_lr,,15,900,1024,1924
1024,900,binary_rl,,15,900,1023,1923
1024,900,kary,4,15,269,1020,1289
1024,900,sliding,4,15,252,1021,1273
1024,900,kary,6,15,232,1020,1252
1024,900,sliding,6,15,198,1019,1217
1024,900,binary_lr,,16,900,1024,1924
1024,900,binary_rl,,16,900,1023,1923
1024,900,kary,4,16,269,1020,1289
1024,900,sliding,4,16,253,1021,1274
1024,900,kary,6,16,232,1020,1252
1024,900,sliding,6,16,195,1019,1214
1024,900,binary_lr,,17,900,1024,1924
1024,900,binary_rl,,17,900,1023,1923
1024,900,kary,4,17,269,1020,1289
1024,900,sliding,4,17,257,1022,1279
1024,900,kary,6,17,232,1020,1252
1024,900,sliding,6,17,198,1019,1217
1024,900,binary_lr,,18,900,1024,1924
1024,900,binary_rl,,18,900,1023,1923
1024,900,kary,4,18,269,1020,1289
1024,900,sliding,4,18,256,1021,1277
1024,900,kary,6,18,232,1020,1252
1024,900,sliding,6,18,198,1020,1218
1024,900,binary_lr,,19,900,1024,1924
1024,900,binary_rl,,19,900,1023,1923
1024,900,kary,4,19,269,1020,1289
1024,900,sliding,4,19,255,1021,1276
1024,900,kary,6,19,232,1020,1252
1024,900,sliding,6,19,197,1019,1216
1024,1024,binary_lr,,0,1024,1024,2048
1024,1024,binary_rl,,0,1024,1023,2047
1024,1024,kary,4,0,269,1020,1289
1024,1024,sliding,4,0,262,1021,1283
1024,1024,kary,6,0,232,1020,1252
1024,1024,sliding,6,0,201,1019,1220
1024,1024,binary_lr,,1,1024,1024,2048
1024,1024,binary_rl,,1,1024,1023,2047
1024,1024,kary,4,1,269,1020,1289
1024,1024,sliding,4,1,262,1021,1283
1024,1024,kary,6,1,232,1020,1252
1024,1024,sliding,6,1,201,1019,1220
1024,1024,binary_lr,,2,1024,1024,2048
1024,1024,binary_rl,,2,1024,1023,2047
1024,1024,kary,4,2,269,1020,1289
1024,1024,sliding,4,2,262,1021,1283
1024,1024,kary,6,2,232,1020,1252
1024,1024,sliding,6,2,201,1019,1220
1024,1024,binary_lr,,3,1024,1024,2048
1024,1024,binary_rl,,3,1024,1023,2047
1024,1024,kary,4,3,269,1020,1289
1024,1024,sliding,4,3,262,1021,1283
1024,1024,kary,6,3,232,1020,1252
1024,1024,sliding,6,3,201,1019,1220
1024,1024,binary_lr,,4,1024,1024,2048
1024,1024,binary_rl,,4,1024,1023,2047
1024,1024,kary,4,4,269,1020,1289
1024,1024,sliding,4,4,262,1021,1283
1024,1024,kary,6,4,232,1020,1252
1024,1024,sliding,6,4,201,1019,1220
1024,1024,binary_lr,,5,1024,1024,2048
1024,1024,binary_rl,,5,1024,1023,2047
1024,1024,kary,4,5,269,1020,1289
1024,1024,sliding,4,5,262,1021,1283
1024,1024,kary,6,5,232,1020,1252
1024,1024,sliding,6,5,201,1019,1220
1024,1024,binary_lr,,6,1024,1024,2048
1024,1024,binary_rl,,6,1024,1023,2047
1024,1024,kary,4,6,269,1020,1289
1024,1024,sliding,4,6,262,1021,1283
1024,1024,kary,6,6,232,1020,1252
1024,1024,sliding,6,6,201,1019,1220
1024,1024,binary_lr,,7,1024,1024,2048
1024,1024,binary_rl,,7,1024,1023,2047
1024,1024,kary,4,7,269,1020,1289
1024,1024,sliding,4,7,262,1021,1283
1024,1024,kary,6,7,232,1020,1252
1024,1024,sliding,6,7,201,1019,1220
1024,1024,binary_lr,,8,1024,1024,2048
1024,1024,binary_rl,,8,1024,1023,2047
1024,1024,kary,4,8,269,1020,1289
1024,1024,sliding,4,8,262,1021,1283
1024,1024,kary,6,8,232,1020,1252
1024,1024,sliding,6,8,201,1019,1220
1024,1024,binary_lr,,9,1024,1024,2048
1024,1024,binary_rl,,9,1024,1023,2047
1024,1024,kary,4,9,269,1020,1289
1024,1024,sliding,4,9,262,1021,1283
1024,1024,kary,6,9,232,1020,1252
1024,1024,sliding,6,9,201,1019,1220
1024,1024,binary_lr,,10,1024,1024,2048
1024,1024,binary_rl,,10,1024,1023,2047
1024,1024,kary,4,10,269,1020,1289
1024,1024,sliding,4,10,262,1021,1283
1024,1024,kary,6,10,232,1020,1252
1024,1024,sliding,6,10,201,1019,1220
1024,1024,binary_lr,,11,1024,1024,2048
1024,1024,binary_rl,,11,1024,1023,2047
1024,1024,kary,4,11,269,1020,1289
1024,1024,sliding,4,11,262,1021,1283
1024,1024,kary,6,11,232,1020,1252
1024,1024,sliding,6,11,201,1019,1220
1024,1024,binary_lr,,12,1024,1024,2048
1024,1024,binary_rl,,12,1024,1023,2047
1024,1024,kary,4,12,269,1020,1289
1024,1024,sliding,4,12,262,1021,1283
1024,1024,kary,6,12,232,1020,1252
1024,1024,sliding,6,12,201,1019,1220
1024,1024,binary_lr,,13,1024,1024,2048
1024,1024,binary_rl,,13,1024,1023,2047
1024,1024,kary,4,13,269,1020,1289
1024,1024,sliding,4,13,262,1021,1283
1024,1024,kary,6,13,232,1020,1252
1024,1024,sliding,6,13,201,1019,1220
1024,1024,binary_lr,,14,1024,1024,2048
1024,1024,binary_rl,,14,1024,1023,2047
1024,1024,kary,4,14,269,1020,1289
1024,1024,sliding,4,14,262,1021,1283
1024,1024,kary,6,14,232,1020,1252
1024,1024,sliding,6,14,201,1019,1220
1024,1024,binary_lr,,15,1024,1024,2048
1024,1024,binary_rl,,15,1024,1023,2047
1024,1024,kary,4,15,269,1020,1289
1024,1024,sliding,4,15,262,1021,1283
1024,1024,kary,6,15,232,1020,1252
1024,1024,sliding,6,15,201,1019,1220
1024,1024,binary_lr,,16,1024,1024,2048
1024,1024,binary_rl,,16,1024,1023,2047
1024,1024,kary,4,16,269,1020,1289
1024,1024,sliding,4,16,262,1021,1283
1024,1024,kary,6,16,232,1020,1252
1024,1024,sliding,6,16,201,1019,1220
1024,1024,binary_lr,,17,1024,1024,2048
1024,1024,binary_rl,,17,1024,1023,2047
1024,1024,kary,4,17,269,1020,1289
1024,1024,sliding,4,17,262,1021,1283
1024,1024,kary,6,17,232,1020,1252
1024,1024,sliding,6,17,201,1019,1220
1024,1024,binary_lr,,18,1024,1024,2048
1024,1024,binary_rl,,18,1024,1023,2047
1024,1024,kary,4,18,269,1020,1289
1024,1024,sliding,4,18,262,1021,1283
1024,1024,kary,6,18,232,1020,1252
1024,1024,sliding,6,18,201,1019,1220
1024,1024,binary_lr,,19,1024,1024,2048
1024,1024,binary_rl,,19,1024,1023,2047
1024,1024,kary,4,19,269,1020,1289
1024,1024,sliding,4,19,262,1021,1283
1024,1024,kary,6,19,232,1020,1252
1024,1024,sliding,6,19,201,1019,1220
