bit_size,hamming_weight,algorithm,k,sample,multiplications,squarings,total_ops
1024,50,binary_lr,,5,50,1024,1074
1024,50,binary_rl,,5,50,1023,1073
1024,50,kary,4,5,269,1020,1289
1024,50,sliding,4,5,53,1024,1077
1024,50,kary,6,5,232,1020,1252
1024,50,sliding,6,5,73,1024,1097
1024,50,binary_lr,,6,50,1024,1074
1024,50,binary_rl,,6,50,1023,1073
1024,50,kary,4,6,269,1020,1289
1024,50,sliding,4,6,49,1024,1073
1024,50,kary,6,6,232,1020,1252
1024,50,sliding,6,6,71,1024,1095
1024,50,binary_lr,,7,50,1024,1074
1024,50,binary_rl,,7,50,1023,1073
1024,50,kary,4,7,269,1020,1289
1024,50,sliding,4,7,53,1024,1077
1024,50,kary,6,7,232,1020,1252
1024,50,sliding,6,7,69,1024,1093
1024,50,binary_lr,,8,50,1024,1074
1024,50,binary_rl,,8,50,1023,1073
1024,50,kary,4,8,269,1020,1289
1024,50,sliding,4,8,52,1024,1076
1024,50,kary,6,8,232,1020,1252
1024,50,sliding,6,8,71,1024,1095
1024,50,binary_lr,,9,50,1024,1074
1024,50,binary_rl,,9,50,1023,1073
1024,50,kary,4,9,269,1020,1289
1024,50,sliding,4,9,52,1024,1076
1024,50,kary,6,9,232,1020,1252
1024,50,sliding,6,9,70,1024,1094
1024,50,binary_lr,,10,50,1024,1074
1024,50,binary_rl,,10,50,1023,1073
1024,50,kary,4,10,269,1020,1289
1024,50,sliding,4,10,50,1024,1074
1024,50,kary,6,10,232,1020,1252
1024,50,sliding,6,10,70,1024,1094
1024,50,binary_lr,,11,50,1024,1074
1024,50,binary_rl,,11,50,1023,1073
1024,50,kary,4,11,269,1020,1289
1024,50,sliding,4,11,51,1024,1075
1024,50,kary,6,11,232,1020,1252
1024,50,sliding,6,11,71,1024,1095
1024,50,binary_lr,,12,50,1024,1074
1024,50,binary_rl,,12,50,1023,1073
1024,50,kary,4,12,269,1020,1289
1024,50,sliding,4,12,51,1024,1075
1024,50,kary,6,12,232,1020,1252
1024,50,sliding,6,12,71,1024,1095
1024,50,binary_lr,,13,50,1024,1074
1024,50,binary_rl,,13,50,1023,1073
1024,50,kary,4,13,269,1020,1289
1024,50,sliding,4,13,47,1024,1071
1024,50,kary,6,13,232,1020,1252
1024,50,sliding,6,13,69,1024,1093
1024,50,binary_lr,,14,50,1024,1074
1024,50,binary_rl,,14,50,1023,1073
1024,50,kary,4,14,269,1020,1289
1024,50,sliding,4,14,51,1024,1075
1024,50,kary,6,14,232,1020,1252
1024,50,sliding,6,14,70,1019,1089
1024,50,binary_lr,,15,50,1024,1074
1024,50,binary_rl,,15,50,1023,1073
1024,50,kary,4,15,269,1020,1289
1024,50,sliding,4,15,48,1024,1072
1024,50,kary,6,15,232,1020,1252
1024,50,sliding,6,15,68,1024,1092
1024,50,binary_lr,,16,50,1024,1074
1024,50,binary_rl,,16,50,1023,1073
1024,50,kary,4,16,269,1020,1289
1024,50,sliding,4,16,53,1024,1077
1024,50,kary,6,16,232,1020,1252
1024,50,sliding,6,16,74,1024,1098
1024,50,binary_lr,,17,50,1024,1074
1024,50,binary_rl,,17,50,1023,1073
1024,50,kary,4,17,269,1020,1289
1024,50,sliding,4,17,48,1024,1072
1024,50,kary,6,17,232,1020,1252
1024,50,sliding,6,17,71,1024,1095
1024,50,binary_lr,,18,50,1024,1074
1024,50,binary_rl,,18,50,1023,1073
1024,50,kary,4,18,269,1020,1289
1024,50,sliding,4,18,47,1024,1071
1024,50,kary,6,18,232,1020,1252
1024,50,sliding,6,18,66,1024,1090
1024,50,binary_lr,,19,50,1024,1074
1024,50,binary_rl,,19,50,1023,1073
1024,50,kary,4,19,269,1020,1289
1024,50,sliding,4,19,53,1024,1077
1024,50,kary,6,19,232,1020,1252
1024,50,sliding,6,19,73,1024,1097
1024,100,binary_lr,,0,100,1024,1124
1024,100,binary_rl,,0,100,1023,1123
1024,100,kary,4,0,269,1020,1289
1024,100,sliding,4,0,82,1024,1106
1024,100,kary,6,0,232,1020,1252
1024,100,sliding,6,0,99,1024,1123
1024,100,binary_lr,,1,100,1024,1124
1024,100,binary_rl,,1,100,1023,1123
1024,100,kary,4,1,269,1020,1289
1024,100,sliding,4,1,81,1024,1105
1024,100,kary,6,1,232,1020,1252
1024,100,sliding,6,1,95,1024,1119
1024,100,binary_lr,,2,100,1024,1124
1024,100,binary_rl,,2,100,1023,1123
1024,100,kary,4,2,269,1020,1289
1024,100,sliding,4,2,86,1023,1109
1024,100,kary,6,2,232,1020,1252
1024,100,sliding,6,2,97,1023,1120
1024,100,binary_lr,,3,100,1024,1124
1024,100,binary_rl,,3,100,1023,1123
1024,100,kary,4,3,269,1020,1289
1024,100,sliding,4,3,83,1024,1107
1024,100,kary,6,3,232,1020,1252
1024,100,sliding,6,3,94,1024,1118
1024,100,binary_lr,,4,100,1024,1124
1024,100,binary_rl,,4,100,1023,1123
1024,100,kary,4,4,269,1020,1289
1024,100,sliding,4,4,79,1021,1100
1024,100,kary,6,4,232,1020,1252
1024,100,sliding,6,4,94,1021,1115
1024,100,binary_lr,,5,100,1024,1124
1024,100,binary_rl,,5,100,1023,1123
1024,100,kary,4,5,269,1020,1289
1024,100,sliding,4,5,84,1024,1108
1024,100,kary,6,5,232,1020,1252
1024,100,sliding,6,5,98,1024,1122
1024,100,binary_lr,,6,100,1024,1124
1024,100,binary_rl,,6,100,1023,1123
1024,100,kary,4,6,269,1020,1289
1024,100,sliding,4,6,82,1024,1106
1024,100,kary,6,6,232,1020,1252
1024,100,sliding,6,6,92,1024,1116
1024,100,binary_lr,,7,100,1024,1124
1024,100,binary_rl,,7,100,1023,1123
1024,100,kary,4,7,269,1020,1289
1024,100,sliding,4,7,87,1024,1111
1024,100,kary,6,7,232,1020,1252
1024,100,sliding,6,7,102,1024,1126
1024,100,binary_lr,,8,100,1024,1124
1024,100,binary_rl,,8,100,1023,1123
1024,100,kary,4,8,269,1020,1289
1024,100,sliding,4,8,83,1024,1107
1024,100,kary,6,8,232,1020,1252
1024,100,sliding,6,8,98,1019,1117
1024,100,binary_lr,,9,100,1024,1124
1024,100,binary_rl,,9,100,1023,1123
1024,100,kary,4,9,269,1020,1289
