bit_size,algorithm,k,sample,multiplications,squarings,total_ops
2048,kary,5,7,424,2045,2469
2048,sliding,5,7,354,2044,2398
2048,kary,6,7,397,2046,2443
2048,sliding,6,7,324,2043,2367
2048,kary,7,7,414,2044,2458
2048,sliding,7,7,320,2043,2363
2048,kary,8,7,507,2040,2547
2048,sliding,8,7,354,2041,2395
2048,kary,9,7,736,2043,2779
2048,sliding,9,7,458,2041,2499
2048,kary,10,7,1226,2040,3266
2048,sliding,10,7,695,2041,2736
2048,kary,1,8,1030,2047,3077
2048,sliding,1,8,1030,2047,3077
2048,kary,2,8,778,2046,2824
2048,sliding,2,8,678,2048,2726
2048,kary,3,8,596,2046,2642
2048,sliding,3,8,516,2048,2564
2048,kary,4,8,495,2044,2539
2048,sliding,4,8,422,2045,2467
2048,kary,5,8,425,2045,2470
2048,sliding,5,8,356,2044,2400
2048,kary,6,8,394,2046,2440
2048,sliding,6,8,318,2044,2362
2048,kary,7,8,414,2044,2458
2048,sliding,7,8,317,2044,2361
2048,kary,8,8,507,2040,2547
2048,sliding,8,8,352,2044,2396
2048,kary,9,8,737,2043,2780
2048,sliding,9,8,459,2040,2499
2048,kary,10,8,1225,2040,3265
2048,sliding,10,8,696,2039,2735
2048,kary,1,9,1047,2047,3094
2048,sliding,1,9,1047,2047,3094
2048,kary,2,9,773,2046,2819
2048,sliding,2,9,684,2047,2731
2048,kary,3,9,593,2046,2639
2048,sliding,3,9,514,2046,2560
2048,kary,4,9,491,2044,2535
2048,sliding,4,9,418,2046,2464
2048,kary,5,9,424,2045,2469
2048,sliding,5,9,348,2044,2392
2048,kary,6,9,396,2046,2442
2048,sliding,6,9,319,2043,2362
2048,kary,7,9,414,2044,2458
2048,sliding,7,9,317,2042,2359
2048,kary,8,9,507,2040,2547
2048,sliding,8,9,352,2041,2393
2048,kary,9,9,736,2043,2779
2048,sliding,9,9,461,2041,2502
2048,kary,10,9,1225,2040,3265
2048,sliding,10,9,695,2039,2734
2048,kary,1,10,1051,2047,3098
2048,sliding,1,10,1051,2047,3098
2048,kary,2,10,779,2046,2825
2048,sliding,2,10,703,2048,2751
2048,kary,3,10,626,2046,2672
2048,sliding,3,10,527,2048,2575
2048,kary,4,10,500,2044,2544
2048,sliding,4,10,422,2048,2470
2048,kary,5,10,429,2045,2474
2048,sliding,5,10,355,2044,2399
2048,kary,6,10,398,2046,2444
2048,sliding,6,10,328,2044,2372
2048,kary,7,10,418,2044,2462
2048,sliding,7,10,323,2042,2365
2048,kary,8,10,509,2040,2549
2048,sliding,8,10,354,2042,2396
2048,kary,9,10,737,2043,2780
2048,sliding,9,10,463,2042,2505
2048,kary,10,10,1226,2040,3266
2048,sliding,10,10,698,2039,2737
2048,kary,1,11,1048,2047,3095
2048,sliding,1,11,1048,2047,3095
2048,kary,2,11,777,2046,2823
2048,sliding,2,11,697,2047,2744
2048,kary,3,11,616,2046,2662
2048,sliding,3,11,526,2046,2572
2048,kary,4,11,497,2044,2541
2048,sliding,4,11,414,2046,2460
2048,kary,5,11,429,2045,2474
2048,sliding,5,11,358,2046,2404
2048,kary,6,11,399,2046,2445
2048,sliding,6,11,325,2046,2371
2048,kary,7,11,415,2044,2459
2048,sliding,7,11,316,2042,2358
2048,kary,8,11,508,2040,2548
2048,sliding,8,11,354,2041,2395
2048,kary,9,11,735,2043,2778
2048,sliding,9,11,458,2040,2498
2048,kary,10,11,1226,2040,3266
2048,sliding,10,11,698,2040,2738
2048,kary,1,12,1049,2047,3096
2048,sliding,1,12,1049,2047,3096
2048,kary,2,12,788,2046,2834
2048,sliding,2,12,690,2047,2737
