bit_size,algorithm,k,sample,time_seconds
64,sliding,8,6,3.2400013878941536e-05
64,pow_builtin,,7,8.499948307871819e-06
64,binary_lr,,7,1.2500095181167126e-05
64,binary_rl,,7,1.750001683831215e-05
64,kary,4,7,1.580000389367342e-05
64,sliding,4,7,1.5099998563528061e-05
64,kary,6,7,2.050003968179226e-05
64,sliding,6,7,1.6600009985268116e-05
64,kary,8,7,4.529999569058418e-05
64,sliding,8,7,3.200001083314419e-05
64,pow_builtin,,8,8.999952115118504e-06
64,binary_lr,,8,1.1399970389902592e-05
64,binary_rl,,8,1.4899997040629387e-05
64,kary,4,8,1.6400008462369442e-05
64,sliding,4,8,1.7600017599761486e-05
64,kary,6,8,2.119992859661579e-05
64,sliding,6,8,1.9999919459223747e-05
64,kary,8,8,4.6200002543628216e-05
64,sliding,8,8,3.4100026823580265e-05
64,pow_builtin,,9,7.999944500625134e-06
64,binary_lr,,9,1.0699965059757233e-05
64,binary_rl,,9,1.5300000086426735e-05
64,kary,4,9,1.4899997040629387e-05
64,sliding,4,9,1.4599994756281376e-05
64,kary,6,9,1.9400031305849552e-05
64,sliding,6,9,1.6600009985268116e-05
64,kary,8,9,4.910002462565899e-05
64,sliding,8,9,2.9499991796910763e-05
128,pow_builtin,,0,2.2700056433677673e-05
128,binary_lr,,0,3.270001616328955e-05
128,binary_rl,,0,4.299997817724943e-05
128,kary,4,0,3.3899908885359764e-05
128,sliding,4,0,3.750005271285772e-05
128,kary,6,0,4.0899962186813354e-05
128,sliding,6,0,3.730005118995905e-05
128,kary,8,0,7.490010466426611e-05
128,sliding,8,0,5.430006422102451e-05
128,pow_builtin,,1,2.2300053387880325e-05
128,binary_lr,,1,3.2100011594593525e-05
128,binary_rl,,1,4.2499974370002747e-05
128,kary,4,1,3.270001616328955e-05
128,sliding,4,1,3.460003063082695e-05
128,kary,6,1,3.890006337314844e-05
128,sliding,6,1,3.7199934013187885e-05
128,kary,8,1,7.060007192194462e-05
128,sliding,8,1,5.370005965232849e-05
128,pow_builtin,,2,2.159993164241314e-05
128,binary_lr,,2,3.220001235604286e-05
128,binary_rl,,2,4.169996827840805e-05
128,kary,4,2,3.190001007169485e-05
128,sliding,4,2,3.360002301633358e-05
128,kary,6,2,3.679993096739054e-05
128,sliding,6,2,3.490003291517496e-05
128,kary,8,2,6.600003689527512e-05
128,sliding,8,2,4.909990821033716e-05
128,pow_builtin,,3,2.1799933165311813e-05
128,binary_lr,,3,3.1400006264448166e-05
128,binary_rl,,3,4.239997360855341e-05
128,kary,4,3,3.600004129111767e-05
128,sliding,4,3,3.699993249028921e-05
128,kary,6,3,3.8899946957826614e-05
128,sliding,6,3,3.599992487579584e-05
128,kary,8,3,7.079995702952147e-05
128,sliding,8,3,5.200004670768976e-05
128,pow_builtin,,4,2.2699940018355846e-05
128,binary_lr,,4,3.339990507811308e-05
128,binary_rl,,4,4.569999873638153e-05
128,kary,4,4,3.400002606213093e-05
