bit_size,algorithm,k,sample,multiplications,squarings,total_ops
8,binary_lr,,16,4,8,12
8,binary_rl,,16,4,7,11
8,kary,2,16,4,6,10
8,sliding,2,16,3,8,11
8,kary,4,16,15,4,19
8,sliding,4,16,8,6,14
8,kary,6,16,63,6,69
8,sliding,6,16,32,6,38
8,kary,8,16,254,0,254
8,sliding,8,16,127,1,128
8,naive,,17,150,0,150
8,binary_lr,,17,4,8,12
8,binary_rl,,17,4,7,11
8,kary,2,17,5,6,11
8,sliding,2,17,3,8,11
8,kary,4,17,15,4,19
8,sliding,4,17,8,5,13
8,kary,6,17,63,6,69
8,sliding,6,17,32,3,35
8,kary,8,17,254,0,254
8,sliding,8,17,127,2,129
8,naive,,18,202,0,202
8,binary_lr,,18,4,8,12
8,binary_rl,,18,4,7,11
8,kary,2,18,4,6,10
8,sliding,2,18,3,7,10
8,kary,4,18,15,4,19
8,sliding,4,18,8,7,15
8,kary,6,18,63,6,69
8,sliding,6,18,32,4,36
8,kary,8,18,254,0,254
8,sliding,8,18,127,2,129
8,naive,,19,164,0,164
8,binary_lr,,19,3,8,11
8,binary_rl,,19,3,7,10
8,kary,2,19,4,6,10
8,sliding,2,19,3,8,11
8,kary,4,19,15,4,19
8,sliding,4,19,8,6,14
8,kary,6,19,63,6,69
8,sliding,6,19,31,3,34
8,kary,8,19,254,0,254
8,sliding,8,19,127,3,130
16,naive,,0,46135,0,46135
16,binary_lr,,0,9,16,25
16,binary_rl,,0,9,15,24
16,kary,2,0,7,14,21
16,sliding,2,0,6,16,22
16,kary,4,0,17,12,29
16,sliding,4,0,10,13,23
16,kary,6,0,64,12,76
16,sliding,6,0,32,11,43
16,kary,8,0,255,8,263
16,sliding,8,0,128,11,139
16,naive,,1,53018,0,53018
16,binary_lr,,1,9,16,25
16,binary_rl,,1,9,15,24
16,kary,2,1,7,14,21
16,sliding,2,1,5,15,20
16,kary,4,1,17,12,29
16,sliding,4,1,9,15,24
16,kary,6,1,64,12,76
16,sliding,6,1,33,11,44
16,kary,8,1,255,8,263
16,sliding,8,1,128,9,137
16,naive,,2,56593,0,56593
16,binary_lr,,2,8,16,24
16,binary_rl,,2,8,15,23
16,kary,2,2,7,14,21
16,sliding,2,2,6,15,21
16,kary,4,2,17,12,29
16,sliding,4,2,10,13,23
16,kary,6,2,64,12,76
16,sliding,6,2,33,11,44
16,kary,8,2,255,8,263
16,sliding,8,2,128,9,137
16,naive,,3,38711,0,38711
16,binary_lr,,3,10,16,26
16,binary_rl,,3,10,15,25
16,kary,2,3,8,14,22
16,sliding,2,3,7,16,23
16,kary,4,3,17,12,29
16,sliding,4,3,10,13,23
16,kary,6,3,64,12,76
16,sliding,6,3,33,11,44
16,kary,8,3,255,8,263
16,sliding,8,3,128,9,137
16,naive,,4,38385,0,38385
16,binary_lr,,4,9,16,25
16,binary_rl,,4,9,15,24
16,kary,2,4,8,14,22
16,sliding,2,4,7,16,23
16,kary,4,4,17,12,29
16,sliding,4,4,10,13,23
16,kary,6,4,64,12,76
16,sliding,6,4,33,11,44
16,kary,8,4,255,8,263
16,sliding,8,4,128,9,137
16,naive,,5,56834,0,56834
16,binary_lr,,5,7,16,23
16,binary_rl,,5,7,15,22
16,kary,2,5,6,14,20
16,sliding,2,5,4,15,19
16,kary,4,5,16,12,28
16,sliding,4,5,9,13,22
16,kary,6,5,64,12,76
16,sliding,6,5,33,11,44
16,kary,8,5,255,8,263
16,sliding,8,5,128,10,138
16,naive,,6,33184,0,33184
16,binary_lr,,6,4,16,20
16,binary_rl,,6,4,15,19
16,kary,2,6,5,14,19
16,sliding,2,6,3,16,19
16,kary,4,6,16,12,28
16,sliding,4,6,8,16,24
16,kary,6,6,64,12,76
16,sliding,6,6,32,16,48
16,kary,8,6,255,8,263
16,sliding,8,6,128,9,137
16,naive,,7,56803,0,56803
16,binary_lr,,7,11,16,27
16,binary_rl,,7,11,15,26
16,kary,2,7,8,14,22
16,sliding,2,7,6,15,21
16,kary,4,7,17,12,29
16,sliding,4,7,10,13,23
16,kary,6,7,64,12,76
16,sliding,6,7,33,11,44
16,kary,8,7,255,8,263
16,sliding,8,7,128,9,137
16,naive,,8,58861,0,58861
16,binary_lr,,8,11,16,27
16,binary_rl,,8,11,15,26
16,kary,2,8,9,14,23
16,sliding,2,8,7,15,22
16,kary,4,8,17,12,29
16,sliding,4,8,10,14,24
16,kary,6,8,64,12,76
16,sliding,6,8,33,11,44
16,kary,8,8,255,8,263
16,sliding,8,8,128,9,137
16,naive,,9,49718,0,49718
16,binary_lr,,9,7,16,23
16,binary_rl,,9,7,15,22
16,kary,2,9,6,14,20
16,sliding,2,9,4,15,19
16,kary,4,9,17,12,29
16,sliding,4,9,10,15,25
16,kary,6,9,64,12,76
16,sliding,6,9,33,15,48
16,kary,8,9,255,8,263
16,sliding,8,9,128,10,138
16,naive,,10,36962,0,36962
16,binary_lr,,10,5,16,21
16,binary_rl,,10,5,15,20
16,kary,2,10,6,14,20
16,sliding,2,10,4,16,20
16,kary,4,10,16,12,28
16,sliding,4,10,9,13,22
16,kary,6,10,64,12,76
16,sliding,6,10,32,13,45
16,kary,8,10,255,8,263
16,sliding,8,10,128,13,141
16,naive,,11,33616,0,33616
16,binary_lr,,11,5,16,21
16,binary_rl,,11,5,15,20
16,kary,2,11,5,14,19
16,sliding,2,11,4,16,20
16,kary,4,11,16,12,28
16,sliding,4,11,9,16,25
16,kary,6,11,64,12,76
16,sliding,6,11,32,16,48
16,kary,8,11,255,8,263
16,sliding,8,11,128,9,137
16,naive,,12,37717,0,37717
16,binary_lr,,12,8,16,24
16,binary_rl,,12,8,15,23
16,kary,2,12,8,14,22
16,sliding,2,12,7,16,23
16,kary,4,12,17,12,29
16,sliding,4,12,10,13,23
16,kary,6,12,64,12,76
16,sliding,6,12,33,13,46
16,kary,8,12,255,8,263
16,sliding,8,12,128,9,137
16,naive,,13,53617,0,53617
16,binary_lr,,13,8,16,24
16,binary_rl,,13,8,15,23
16,kary,2,13,7,14,21
16,sliding,2,13,6,15,21
16,kary,4,13,17,12,29
16,sliding,4,13,10,13,23
16,kary,6,13,64,12,76
16,sliding,6,13,33,13,46
16,kary,8,13,255,8,263
16,sliding,8,13,128,9,137
16,naive,,14,58118,0,58118
16,binary_lr,,14,7,16,23
16,binary_rl,,14,7,15,22
16,kary,2,14,6,14,20
16,sliding,2,14,4,15,19
16,kary,4,14,16,12,28
16,sliding,4,14,9,14,23
16,kary,6,14,64,12,76
16,sliding,6,14,33,14,47
16,kary,8,14,255,8,263
16,sliding,8,14,128,9,137
16,naive,,15,47009,0,47009
16,binary_lr,,15,9,16,25
16,binary_rl,,15,9,15,24
16,kary,2,15,8,14,22
16,sliding,2,15,6,16,22
16,kary,4,15,17,12,29
16,sliding,4,15,10,13,23
16,kary,6,15,64,12,76
16,sliding,6,15,33,11,44
16,kary,8,15,255,8,263
16,sliding,8,15,128,9,137
16,naive,,16,63572,0,63572
16,binary_lr,,16,8,16,24
16,binary_rl,,16,8,15,23
16,kary,2,16,7,14,21
16,sliding,2,16,6,15,21
16,kary,4,16,17,12,29
16,sliding,4,16,10,13,23
16,kary,6,16,64,12,76
16,sliding,6,16,32,12,44
16,kary,8,16,255,8,263
16,sliding,8,16,128,12,140
16,naive,,17,57953,0,57953
16,binary_lr,,17,7,16,23
16,binary_rl,,17,7,15,22
16,kary,2,17,7,14,21
16,sliding,2,17,5,15,20
16,kary,4,17,17,12,29
16,sliding,4,17,10,14,24
16,kary,6,17,64,12,76
16,sliding,6,17,33,14,47
16,kary,8,17,255,8,263
16,sliding,8,17,128,10,138
16,naive,,18,41069,0,41069
16,binary_lr,,18,7,16,23
16,binary_rl,,18,7,15,22
16,kary,2,18,7,14,21
16,sliding,2,18,5,16,21
16,kary,4,18,16,12,28
16,sliding,4,18,9,14,23
16,kary,6,18,64,12,76
16,sliding,6,18,33,14,47
16,kary,8,18,255,8,263
16,sliding,8,18,128,14,142
16,naive,,19,44191,0,44191
16,binary_lr,,19,10,16,26
16,binary_rl,,19,10,15,25
16,kary,2,19,8,14,22
16,sliding,2,19,7,16,23
16,kary,4,19,17,12,29
16,sliding,4,19,10,14,24
16,kary,6,19,64,12,76
16,sliding,6,19,33,11,44
16,kary,8,19,255,8,263
16,sliding,8,19,128,11,139
24,binary_lr,,0,15,24,39
24,binary_rl,,0,15,23,38
24,kary,2,0,12,22,34
24,sliding,2,0,10,23,33
24,kary,4,0,19,20,39
24,sliding,4,0,11,22,33
24,kary,6,0,65,18,83
24,sliding,6,0,34,19,53
24,kary,8,0,256,16,272
24,sliding,8,0,129,17,146
24,binary_lr,,1,10,24,34
24,binary_rl,,1,10,23,33
24,kary,2,1,8,22,30
24,sliding,2,1,7,23,30
24,kary,4,1,18,20,38
24,sliding,4,1,11,23,34
24,kary,6,1,65,18,83
24,sliding,6,1,34,23,57
24,kary,8,1,256,16,272
24,sliding,8,1,129,23,152
24,binary_lr,,2,16,24,40
24,binary_rl,,2,16,23,39
24,kary,2,2,12,22,34
24,sliding,2,2,11,24,35
24,kary,4,2,19,20,39
24,sliding,4,2,12,22,34
24,kary,6,2,65,18,83
24,sliding,6,2,34,20,54
24,kary,8,2,256,16,272
24,sliding,8,2,129,17,146
24,binary_lr,,3,12,24,36
24,binary_rl,,3,12,23,35
24,kary,2,3,10,22,32
24,sliding,2,3,8,24,32
24,kary,4,3,19,20,39
24,sliding,4,3,12,24,36
24,kary,6,3,65,18,83
24,sliding,6,3,34,19,53
24,kary,8,3,256,16,272
24,sliding,8,3,129,19,148
24,binary_lr,,4,12,24,36
24,binary_rl,,4,12,23,35
24,kary,2,4,9,22,31
24,sliding,2,4,7,24,31
24,kary,4,4,18,20,38
24,sliding,4,4,11,24,35
24,kary,6,4,65,18,83
24,sliding,6,4,33,24,57
24,kary,8,4,256,16,272
24,sliding,8,4,129,24,153
24,binary_lr,,5,12,24,36
24,binary_rl,,5,12,23,35
24,kary,2,5,9,22,31
24,sliding,2,5,7,23,30
24,kary,4,5,18,20,38
24,sliding,4,5,11,23,34
24,kary,6,5,65,18,83
24,sliding,6,5,34,19,53
24,kary,8,5,256,16,272
24,sliding,8,5,129,18,147
24,binary_lr,,6,18,24,42
24,binary_rl,,6,18,23,41
24,kary,2,6,13,22,35
24,sliding,2,6,12,23,35
24,kary,4,6,19,20,39
24,sliding,4,6,12,22,34
24,kary,6,6,65,18,83
24,sliding,6,6,34,19,53
24,kary,8,6,256,16,272
24,sliding,8,6,129,18,147
24,binary_lr,,7,13,24,37
24,binary_rl,,7,13,23,36
24,kary,2,7,10,22,32
24,sliding,2,7,8,23,31
24,kary,4,7,19,20,39
24,sliding,4,7,11,21,32
24,kary,6,7,65,18,83
24,sliding,6,7,34,19,53
24,kary,8,7,256,16,272
24,sliding,8,7,129,19,148
24,binary_lr,,8,12,24,36
24,binary_rl,,8,12,23,35
24,kary,2,8,11,22,33
24,sliding,2,8,8,24,32
24,kary,4,8,19,20,39
24,sliding,4,8,12,24,36
24,kary,6,8,65,18,83
24,sliding,6,8,34,20,54
24,kary,8,8,256,16,272
24,sliding,8,8,129,20,149
24,binary_lr,,9,15,24,39
24,binary_rl,,9,15,23,38
24,kary,2,9,11,22,33
24,sliding,2,9,9,23,32
24,kary,4,9,19,20,39
24,sliding,4,9,11,21,32
24,kary,6,9,65,18,83
24,sliding,6,9,34,19,53
24,kary,8,9,256,16,272
24,sliding,8,9,129,17,146
24,binary_lr,,10,10,24,34
