bit_size,exponent_type,hamming_weight,beta,algorithm,k,sample,multiplications,squarings,total_ops
1024,rsa_3,2,2,kary,6,16,62,0,62
1024,rsa_3,2,2,sliding,6,16,31,1,32
1024,power_of_2,1,1024,binary_lr,,16,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,16,1,1023,1024
1024,power_of_2,1,1024,kary,4,16,14,1020,1034
1024,power_of_2,1,1024,sliding,4,16,7,1024,1031
1024,power_of_2,1,1024,kary,6,16,62,1020,1082
1024,power_of_2,1,1024,sliding,6,16,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,16,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,16,1024,1023,2047
1024,all_ones,1024,1024,kary,4,16,269,1020,1289
1024,all_ones,1024,1024,sliding,4,16,262,1021,1283
1024,all_ones,1024,1024,kary,6,16,232,1020,1252
1024,all_ones,1024,1024,sliding,6,16,201,1019,1220
1024,random,504,1024,binary_lr,,16,504,1024,1528
1024,random,504,1024,binary_rl,,16,504,1023,1527
1024,random,504,1024,kary,4,16,248,1020,1268
1024,random,504,1024,sliding,4,16,211,1021,1232
1024,random,504,1024,kary,6,16,227,1020,1247
1024,random,504,1024,sliding,6,16,171,1020,1191
1024,rsa_65537,2,17,binary_lr,,17,2,17,19
1024,rsa_65537,2,17,binary_rl,,17,2,16,18
1024,rsa_65537,2,17,kary,4,17,15,16,31
1024,rsa_65537,2,17,sliding,4,17,8,17,25
1024,rsa_65537,2,17,kary,6,17,63,12,75
1024,rsa_65537,2,17,sliding,6,17,32,17,49
1024,rsa_3,2,2,binary_lr,,17,2,2,4
1024,rsa_3,2,2,binary_rl,,17,2,1,3
1024,rsa_3,2,2,kary,4,17,14,0,14
1024,rsa_3,2,2,sliding,4,17,7,1,8
1024,rsa_3,2,2,kary,6,17,62,0,62
1024,rsa_3,2,2,sliding,6,17,31,1,32
1024,power_of_2,1,1024,binary_lr,,17,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,17,1,1023,1024
1024,power_of_2,1,1024,kary,4,17,14,1020,1034
1024,power_of_2,1,1024,sliding,4,17,7,1024,1031
1024,power_of_2,1,1024,kary,6,17,62,1020,1082
1024,power_of_2,1,1024,sliding,6,17,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,17,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,17,1024,1023,2047
1024,all_ones,1024,1024,kary,4,17,269,1020,1289
1024,all_ones,1024,1024,sliding,4,17,262,1021,1283
1024,all_ones,1024,1024,kary,6,17,232,1020,1252
1024,all_ones,1024,1024,sliding,6,17,201,1019,1220
1024,random,486,1024,binary_lr,,17,486,1024,1510
1024,random,486,1024,binary_rl,,17,486,1023,1509
1024,random,486,1024,kary,4,17,243,1020,1263
1024,random,486,1024,sliding,4,17,206,1021,1227
1024,random,486,1024,kary,6,17,225,1020,1245
1024,random,486,1024,sliding,6,17,173,1019,1192
1024,rsa_65537,2,17,binary_lr,,18,2,17,19
1024,rsa_65537,2,17,binary_rl,,18,2,16,18
1024,rsa_65537,2,17,kary,4,18,15,16,31
1024,rsa_65537,2,17,sliding,4,18,8,17,25
1024,rsa_65537,2,17,kary,6,18,63,12,75
1024,rsa_65537,2,17,sliding,6,18,32,17,49
1024,rsa_3,2,2,binary_lr,,18,2,2,4
1024,rsa_3,2,2,binary_rl,,18,2,1,3
1024,rsa_3,2,2,kary,4,18,14,0,14
1024,rsa_3,2,2,sliding,4,18,7,1,8
1024,rsa_3,2,2,kary,6,18,62,0,62
1024,rsa_3,2,2,sliding,6,18,31,1,32
1024,power_of_2,1,1024,binary_lr,,18,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,18,1,1023,1024
1024,power_of_2,1,1024,kary,4,18,14,1020,1034
1024,power_of_2,1,1024,sliding,4,18,7,1024,1031
1024,power_of_2,1,1024,kary,6,18,62,1020,1082
1024,power_of_2,1,1024,sliding,6,18,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,18,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,18,1024,1023,2047
1024,all_ones,1024,1024,kary,4,18,269,1020,1289
1024,all_ones,1024,1024,sliding,4,18,262,1021,1283
1024,all_ones,1024,1024,kary,6,18,232,1020,1252
1024,all_ones,1024,1024,sliding,6,18,201,1019,1220
1024,random,527,1024,binary_lr,,18,527,1024,1551
1024,random,527,1024,binary_rl,,18,527,1023,1550
1024,random,527,1024,kary,4,18,249,1020,1269
1024,random,527,1024,sliding,4,18,210,1021,1231
1024,random,527,1024,kary,6,18,228,1020,1248
1024,random,527,1024,sliding,6,18,173,1021,1194
1024,rsa_65537,2,17,binary_lr,,19,2,17,19
1024,rsa_65537,2,17,binary_rl,,19,2,16,18
1024,rsa_65537,2,17,kary,4,19,15,16,31
1024,rsa_65537,2,17,sliding,4,19,8,17,25
1024,rsa_65537,2,17,kary,6,19,63,12,75
1024,rsa_65537,2,17,sliding,6,19,32,17,49
1024,rsa_3,2,2,binary_lr,,19,2,2,4
1024,rsa_3,2,2,binary_rl,,19,2,1,3
1024,rsa_3,2,2,kary,4,19,14,0,14
1024,rsa_3,2,2,sliding,4,19,7,1,8
1024,rsa_3,2,2,kary,6,19,62,0,62
1024,rsa_3,2,2,sliding,6,19,31,1,32
1024,power_of_2,1,1024,binary_lr,,19,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,19,1,1023,1024
1024,power_of_2,1,1024,kary,4,19,14,1020,1034
1024,power_of_2,1,1024,sliding,4,19,7,1024,1031
1024,power_of_2,1,1024,kary,6,19,62,1020,1082
1024,power_of_2,1,1024,sliding,6,19,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,19,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,19,1024,1023,2047
1024,all_ones,1024,1024,kary,4,19,269,1020,1289
1024,all_ones,1024,1024,sliding,4,19,262,1021,1283
1024,all_ones,1024,1024,kary,6,19,232,1020,1252
1024,all_ones,1024,1024,sliding,6,19,201,1019,1220
1024,random,538,1024,binary_lr,,19,538,1024,1562
1024,random,538,1024,binary_rl,,19,538,1023,1561
1024,random,538,1024,kary,4,19,256,1020,1276
1024,random,538,1024,sliding,4,19,217,1024,1241
1024,random,538,1024,kary,6,19,230,1020,1250
1024,random,538,1024,sliding,6,19,179,1024,1203
