bit_size,exponent_type,hamming_weight,beta,algorithm,k,sample,multiplications,squarings,total_ops
1024,all_ones,1024,1024,sliding,4,3,262,1021,1283
1024,all_ones,1024,1024,kary,6,3,232,1020,1252
1024,all_ones,1024,1024,sliding,6,3,201,1019,1220
1024,random,509,1024,binary_lr,,3,509,1024,1533
1024,random,509,1024,binary_rl,,3,509,1023,1532
1024,random,509,1024,kary,4,3,248,1020,1268
1024,random,509,1024,sliding,4,3,207,1022,1229
1024,random,509,1024,kary,6,3,229,1020,1249
1024,random,509,1024,sliding,6,3,177,1019,1196
1024,rsa_65537,2,17,binary_lr,,4,2,17,19
1024,rsa_65537,2,17,binary_rl,,4,2,16,18
1024,rsa_65537,2,17,kary,4,4,15,16,31
1024,rsa_65537,2,17,sliding,4,4,8,17,25
1024,rsa_65537,2,17,kary,6,4,63,12,75
1024,rsa_65537,2,17,sliding,6,4,32,17,49
1024,rsa_3,2,2,binary_lr,,4,2,2,4
1024,rsa_3,2,2,binary_rl,,4,2,1,3
1024,rsa_3,2,2,kary,4,4,14,0,14
1024,rsa_3,2,2,sliding,4,4,7,1,8
1024,rsa_3,2,2,kary,6,4,62,0,62
1024,rsa_3,2,2,sliding,6,4,31,1,32
1024,power_of_2,1,1024,binary_lr,,4,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,4,1,1023,1024
1024,power_of_2,1,1024,kary,4,4,14,1020,1034
1024,power_of_2,1,1024,sliding,4,4,7,1024,1031
1024,power_of_2,1,1024,kary,6,4,62,1020,1082
1024,power_of_2,1,1024,sliding,6,4,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,4,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,4,1024,1023,2047
1024,all_ones,1024,1024,kary,4,4,269,1020,1289
1024,all_ones,1024,1024,sliding,4,4,262,1021,1283
1024,all_ones,1024,1024,kary,6,4,232,1020,1252
1024,all_ones,1024,1024,sliding,6,4,201,1019,1220
1024,random,504,1024,binary_lr,,4,504,1024,1528
1024,random,504,1024,binary_rl,,4,504,1023,1527
1024,random,504,1024,kary,4,4,255,1020,1275
1024,random,504,1024,sliding,4,4,214,1022,1236
1024,random,504,1024,kary,6,4,230,1020,1250
1024,random,504,1024,sliding,6,4,179,1019,1198
1024,rsa_65537,2,17,binary_lr,,5,2,17,19
1024,rsa_65537,2,17,binary_rl,,5,2,16,18
1024,rsa_65537,2,17,kary,4,5,15,16,31
1024,rsa_65537,2,17,sliding,4,5,8,17,25
1024,rsa_65537,2,17,kary,6,5,63,12,75
1024,rsa_65537,2,17,sliding,6,5,32,17,49
1024,rsa_3,2,2,binary_lr,,5,2,2,4
1024,rsa_3,2,2,binary_rl,,5,2,1,3
1024,rsa_3,2,2,kary,4,5,14,0,14
1024,rsa_3,2,2,sliding,4,5,7,1,8
1024,rsa_3,2,2,kary,6,5,62,0,62
1024,rsa_3,2,2,sliding,6,5,31,1,32
1024,power_of_2,1,1024,binary_lr,,5,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,5,1,1023,1024
1024,power_of_2,1,1024,kary,4,5,14,1020,1034
1024,power_of_2,1,1024,sliding,4,5,7,1024,1031
1024,power_of_2,1,1024,kary,6,5,62,1020,1082
1024,power_of_2,1,1024,sliding,6,5,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,5,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,5,1024,1023,2047
1024,all_ones,1024,1024,kary,4,5,269,1020,1289
1024,all_ones,1024,1024,sliding,4,5,262,1021,1283
1024,all_ones,1024,1024,kary,6,5,232,1020,1252
1024,all_ones,1024,1024,sliding,6,5,201,1019,1220
1024,random,495,1024,binary_lr,,5,495,1024,1519
1024,random,495,1024,binary_rl,,5,495,1023,1518
1024,random,495,1024,kary,4,5,247,1020,1267
1024,random,495,1024,sliding,4,5,212,1024,1236
1024,random,495,1024,kary,6,5,229,1020,1249
1024,random,495,1024,sliding,6,5,175,1019,1194
1024,rsa_65537,2,17,binary_lr,,6,2,17,19
1024,rsa_65537,2,17,binary_rl,,6,2,16,18
1024,rsa_65537,2,17,kary,4,6,15,16,31
1024,rsa_65537,2,17,sliding,4,6,8,17,25
1024,rsa_65537,2,17,kary,6,6,63,12,75
1024,rsa_65537,2,17,sliding,6,6,32,17,49
1024,rsa_3,2,2,binary_lr,,6,2,2,4
1024,rsa_3,2,2,binary_rl,,6,2,1,3
1024,rsa_3,2,2,kary,4,6,14,0,14
1024,rsa_3,2,2,sliding,4,6,7,1,8
1024,rsa_3,2,2,kary,6,6,62,0,62
1024,rsa_3,2,2,sliding,6,6,31,1,32
1024,power_of_2,1,1024,binary_lr,,6,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,6,1,1023,1024
1024,power_of_2,1,1024,kary,4,6,14,1020,1034
1024,power_of_2,1,1024,sliding,4,6,7,1024,1031
1024,power_of_2,1,1024,kary,6,6,62,1020,1082
1024,power_of_2,1,1024,sliding,6,6,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,6,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,6,1024,1023,2047
1024,all_ones,1024,1024,kary,4,6,269,1020,1289
1024,all_ones,1024,1024,sliding,4,6,262,1021,1283
1024,all_ones,1024,1024,kary,6,6,232,1020,1252
1024,all_ones,1024,1024,sliding,6,6,201,1019,1220
1024,random,516,1024,binary_lr,,6,516,1024,1540
1024,random,516,1024,binary_rl,,6,516,1023,1539
1024,random,516,1024,kary,4,6,253,1020,1273
1024,random,516,1024,sliding,4,6,209,1024,1233
1024,random,516,1024,kary,6,6,231,1020,1251
1024,random,516,1024,sliding,6,6,178,1024,1202
1024,rsa_65537,2,17,binary_lr,,7,2,17,19
1024,rsa_65537,2,17,binary_rl,,7,2,16,18
1024,rsa_65537,2,17,kary,4,7,15,16,31
1024,rsa_65537,2,17,sliding,4,7,8,17,25
1024,rsa_65537,2,17,kary,6,7,63,12,75
1024,rsa_65537,2,17,sliding,6,7,32,17,49
1024,rsa_3,2,2,binary_lr,,7,2,2,4
1024,rsa_3,2,2,binary_rl,,7,2,1,3
1024,rsa_3,2,2,kary,4,7,14,0,14
1024,rsa_3,2,2,sliding,4,7,7,1,8
1024,rsa_3,2,2,kary,6,7,62,0,62
1024,rsa_3,2,2,sliding,6,7,31,1,32
1024,power_of_2,1,1024,binary_lr,,7,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,7,1,1023,1024
1024,power_of_2,1,1024,kary,4,7,14,1020,1034
1024,power_of_2,1,1024,sliding,4,7,7,1024,1031
1024,power_of_2,1,1024,kary,6,7,62,1020,1082
1024,power_of_2,1,1024,sliding,6,7,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,7,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,7,1024,1023,2047
1024,all_ones,1024,1024,kary,4,7,269,1020,1289
1024,all_ones,1024,1024,sliding,4,7,262,1021,1283
1024,all_ones,1024,1024,kary,6,7,232,1020,1252
1024,all_ones,1024,1024,sliding,6,7,201,1019,1220
1024,random,531,1024,binary_lr,,7,531,1024,1555
1024,random,531,1024,binary_rl,,7,531,1023,1554
1024,random,531,1024,kary,4,7,252,1020,1272
1024,random,531,1024,sliding,4,7,219,1023,1242
1024,random,531,1024,kary,6,7,230,1020,1250
1024,random,531,1024,sliding,6,7,177,1019,1196
1024,rsa_65537,2,17,binary_lr,,8,2,17,19
1024,rsa_65537,2,17,binary_rl,,8,2,16,18
1024,rsa_65537,2,17,kary,4,8,15,16,31
1024,rsa_65537,2,17,sliding,4,8,8,17,25
1024,rsa_65537,2,17,kary,6,8,63,12,75
1024,rsa_65537,2,17,sliding,6,8,32,17,49
1024,rsa_3,2,2,binary_lr,,8,2,2,4
1024,rsa_3,2,2,binary_rl,,8,2,1,3
1024,rsa_3,2,2,kary,4,8,14,0,14
1024,rsa_3,2,2,sliding,4,8,7,1,8
1024,rsa_3,2,2,kary,6,8,62,0,62
1024,rsa_3,2,2,sliding,6,8,31,1,32
1024,power_of_2,1,1024,binary_lr,,8,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,8,1,1023,1024
1024,power_of_2,1,1024,kary,4,8,14,1020,1034
1024,power_of_2,1,1024,sliding,4,8,7,1024,1031
1024,power_of_2,1,1024,kary,6,8,62,1020,1082
1024,power_of_2,1,1024,sliding,6,8,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,8,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,8,1024,1023,2047
1024,all_ones,1024,1024,kary,4,8,269,1020,1289
1024,all_ones,1024,1024,sliding,4,8,262,1021,1283
1024,all_ones,1024,1024,kary,6,8,232,1020,1252
1024,all_ones,1024,1024,sliding,6,8,201,1019,1220
1024,random,512,1024,binary_lr,,8,512,1024,1536
1024,random,512,1024,binary_rl,,8,512,1023,1535
1024,random,512,1024,kary,4,8,258,1020,1278
1024,random,512,1024,sliding,4,8,217,1021,1238
1024,random,512,1024,kary,6,8,231,1020,1251
1024,random,512,1024,sliding,6,8,177,1019,1196
1024,rsa_65537,2,17,binary_lr,,9,2,17,19
1024,rsa_65537,2,17,binary_rl,,9,2,16,18
1024,rsa_65537,2,17,kary,4,9,15,16,31
1024,rsa_65537,2,17,sliding,4,9,8,17,25
1024,rsa_65537,2,17,kary,6,9,63,12,75
1024,rsa_65537,2,17,sliding,6,9,32,17,49
1024,rsa_3,2,2,binary_lr,,9,2,2,4
1024,rsa_3,2,2,binary_rl,,9,2,1,3
1024,rsa_3,2,2,kary,4,9,14,0,14
1024,rsa_3,2,2,sliding,4,9,7,1,8
1024,rsa_3,2,2,kary,6,9,62,0,62
1024,rsa_3,2,2,sliding,6,9,31,1,32
1024,power_of_2,1,1024,binary_lr,,9,1,1024,1025
1024,power_of_2,1,1024,binary_rl,,9,1,1023,1024
1024,power_of_2,1,1024,kary,4,9,14,1020,1034
1024,power_of_2,1,1024,sliding,4,9,7,1024,1031
1024,power_of_2,1,1024,kary,6,9,62,1020,1082
1024,power_of_2,1,1024,sliding,6,9,31,1024,1055
1024,all_ones,1024,1024,binary_lr,,9,1024,1024,2048
1024,all_ones,1024,1024,binary_rl,,9,1024,1023,2047
1024,all_ones,1024,1024,kary,4,9,269,1020,1289
1024,all_ones,1024,1024,sliding,4,9,262,1021,1283
1024,all_ones,1024,1024,kary,6,9,232,1020,1252
1024,all_ones,1024,1024,sliding,6,9,201,1019,1220
1024,random,513,1024,binary_lr,,9,513,1024,1537
1024,random,513,1024,binary_rl,,9,513,1023,1536
1024,random,513,1024,kary,4,9,253,1020,1273
1024,random,513,1024,sliding,4,9,208,1021,1229
1024,random,513,1024,kary,6,9,230,1020,1250
1024,random,513,1024,sliding,6,9,173,1021,1194
1024,rsa_65537,2,17,binary_lr,,10,2,17,19
1024,rsa_65537,2,17,binary_rl,,10,2,16,18
1024,rsa_65537,2,17,kary,4,10,15,16,31
1024,rsa_65537,2,17,sliding,4,10,8,17,25
1024,rsa_65537,2,17,kary,6,10,63,12,75
1024,rsa_65537,2,17,sliding,6,10,32,17,49
1024,rsa_3,2,2,binary_lr,,10,2,2,4
1024,rsa_3,2,2,binary_rl,,10,2,1,3
